"tic","invest"
"GGGOF",1002.00400801603
"GHL",1002.00400801603
"GIDYL",1002.00400801603
"GLBR",1002.00400801603
"GLBS",1002.00400801603
"GLDLF",1002.00400801603
"GLNG",1002.00400801603
"GLPG",1002.00400801603
"GLTC",1002.00400801603
"GLYE",1002.00400801603
"GMICF",1002.00400801603
"GMLP",1002.00400801603
"GMNFF",1002.00400801603
"GNC",1002.00400801603
"GNE",1002.00400801603
"GNMK",1002.00400801603
"GNMX",1002.00400801603
"GNRC",1002.00400801603
"GNUS",1002.00400801603
"GNYPF",1002.00400801603
"GOK.",1002.00400801603
"GOLD",1002.00400801603
"GOMRF",1002.00400801603
"GOV",1002.00400801603
"GPRE",1002.00400801603
"GPRK",1002.00400801603
"GRAM",1002.00400801603
"GRFS",1002.00400801603
"GRPN",1002.00400801603
"GSV",1002.00400801603
"GSVC",1002.00400801603
"GWPH",1002.00400801603
"GWRE",1002.00400801603
"GWTI",1002.00400801603
"GXOCF",1002.00400801603
"GZT",1002.00400801603
"H",1002.00400801603
"HBCP",1002.00400801603
"HCCI",1002.00400801603
"HCI",1002.00400801603
"HCM",1002.00400801603
"HCMC",1002.00400801603
"HCOM",1002.00400801603
"HDRSF",1002.00400801603
"HELOF",1002.00400801603
"HEP",1002.00400801603
"HEWA",1002.00400801603
"HGI.UN",1002.00400801603
"HGSH",1002.00400801603
"HHC",1002.00400801603
"HI",1002.00400801603
"HII",1002.00400801603
"HIMX",1002.00400801603
"HMDED",1002.00400801603
"HMST",1002.00400801603
"HPJ",1002.00400801603
"HPMCF",1002.00400801603
"HPP",1002.00400801603
"HRZN",1002.00400801603
"HSNI",1002.00400801603
"HTA",1002.00400801603
"HTHT",1002.00400801603
"HTRRF",1002.00400801603
"HVU.",1002.00400801603
"HVV.",1002.00400801603
"HZNP",1002.00400801603
"IBA",1002.00400801603
"IBIO",1002.00400801603
"IBN",1002.00400801603
"ICL",1002.00400801603
"ICLD",1002.00400801603
"IDMMF",1002.00400801603
"IDR.UN",1002.00400801603
"IDWM",1002.00400801603
"IFON",1002.00400801603
"IGT",1002.00400801603
"ILCC",1002.00400801603
"ILG",1002.00400801603
"ILNLF",1002.00400801603
"IMBBY",1002.00400801603
"IMI",1002.00400801603
"IMMP",1002.00400801603
"IMMVF",1002.00400801603
"IMPV",1002.00400801603
"IMRN",1002.00400801603
"INFY",1002.00400801603
"INN",1002.00400801603
"INSY",1002.00400801603
"INXN",1002.00400801603
"IOVA",1002.00400801603
"IPCI",1002.00400801603
"IPHI",1002.00400801603
"IPI",1002.00400801603
"IRDM",1002.00400801603
"IROQ",1002.00400801603
"IRWD",1002.00400801603
"ISDR",1002.00400801603
"ISDSF",1002.00400801603
"ISRB",1002.00400801603
"ITCB",1002.00400801603
"ITRN",1002.00400801603
"IVFH",1002.00400801603
"IVR",1002.00400801603
"IZEA",1002.00400801603
"JBT",1002.00400801603
"JKS",1002.00400801603
"JMSB",1002.00400801603
"JTPY",1002.00400801603
"KANP",1002.00400801603
"KAR",1002.00400801603
"KATFF",1002.00400801603
"KEYW",1002.00400801603
"KGJI",1002.00400801603
"KKR",1002.00400801603
"KMDA",1002.00400801603
"KNMCY",1002.00400801603
"KORS",1002.00400801603
"KOS",1002.00400801603
"KRG",1002.00400801603
"KRLTF",1002.00400801603
"KSSRF",1002.00400801603
"KTOV",1002.00400801603
"KVLQF",1002.00400801603
"LBCMF",1002.00400801603
"LCTC",1002.00400801603
"LEDIF",1002.00400801603
"LEDS",1002.00400801603
"LFC",1002.00400801603
"LFGR",1002.00400801603
"LGDRF",1002.00400801603
"LGDTF",1002.00400801603
"LINU",1002.00400801603
"LIQT",1002.00400801603
"LIVX",1002.00400801603
"LLEX",1002.00400801603
"LLIT",1002.00400801603
"LMOS",1002.00400801603
"LMRXF",1002.00400801603
"LND",1002.00400801603
"LNZCF",1002.00400801603
"LOGM",1002.00400801603
"LOMLF",1002.00400801603
"LONE",1002.00400801603
"LOONF",1002.00400801603
"LOPE",1002.00400801603
"LOV.",1002.00400801603
"LPG",1002.00400801603
"LPI",1002.00400801603
"LPKGF",1002.00400801603
"LRCPF",1002.00400801603
"LRDC",1002.00400801603
"LSSCF",1002.00400801603
"LTDH",1002.00400801603
"LTM",1002.00400801603
"LUCRF",1002.00400801603
"LUKOY",1002.00400801603
"LWSCF",1002.00400801603
"LXFR",1002.00400801603
"LYB",1002.00400801603
"M.",1002.00400801603
"MACK",1002.00400801603
"MANU",1002.00400801603
"MAXD",1002.00400801603
"MAXMF",1002.00400801603
"MBCFF",1002.00400801603
"MCC",1002.00400801603
"MCEP",1002.00400801603
"MDGS",1002.00400801603
"MDRPF",1002.00400801603
"MDRX",1002.00400801603
"MDSO",1002.00400801603
"MEEC",1002.00400801603
"MEGEF",1002.00400801603
"MESO",1002.00400801603
"MFG",1002.00400801603
"MFON",1002.00400801603
"MG",1002.00400801603
"MGDPF",1002.00400801603
"MGMB",1002.00400801603
"MGMLF",1002.00400801603
"MGMXF",1002.00400801603
"MGWFF",1002.00400801603
